,1-Core Naïve MC_NDFS ,16-Core Naïve MC_NDFS ,MC_GC_NDFS,MC_AR_NDFS,MC_RS_NDFS,NC_NEW_NDFS
FALSE,586.2,670.4,730.2,322.4,656.4,332.6
FALSE,218.2,242.2,263.2,117.8,240.2,114
FALSE,264.2,297.2,328,140.2,291.2,140.8
FALSE,170.2,189,206.4,92.4,188.8,89.6
FALSE,192.4,218.4,221,104.8,214,101.8
FALSE,625.2,691.6,689.8,334.8,684.4,330.8
FALSE,268.8,300.2,312,146.8,297.8,142.2
FALSE,41,45,47.4,21.8,42.6,20.2
FALSE,19.2,21,19,10,25.8,8.8
FALSE,472.8,529.4,532.2,255.8,531.2,252.2
FALSE,33.2,36.2,35.2,17,34.4,16
FALSE,685.4,769.4,793.4,371.8,775.2,369.6
FALSE,434.4,480.2,497.2,232.8,481.6,228.4
FALSE,61.8,69.2,77,33.2,67.4,31.2
FALSE,685.2,755.6,768.4,365.8,761,361.4
FALSE,65.4,63.4,71.8,36.2,62.2,28.8
FALSE,623.8,697.4,697.4,349.4,704.4,335.6
FALSE,46.2,49.8,57.8,24.2,48.6,22
FALSE,781.8,881.8,903,439.2,887.8,428.4
FALSE,547.4,612.8,622.6,306,614.8,291
FALSE,67.2,75.6,82.2,36.6,73.4,34.2
FALSE,492.4,557.2,557.6,276.8,557.4,264.4
FALSE,213.2,225.4,223.4,111.6,224.2,105.6
FALSE,22.6,24,24,11.6,22.4,11.2
FALSE,281,311.8,308.6,155.2,313.6,146.4
FALSE,237.4,267.4,270.8,133.6,267,126.2
FALSE,667.6,746.8,763,382,758.8,359.6
FALSE,487.4,540.4,562.6,270.6,542,258.6
FALSE,57,63,66.4,31,61.2,29.6
FALSE,616.2,695.2,734,346.6,699.8,333.4
FALSE,4.4,5.6,2.8,1.2,1.8,1
FALSE,213.2,230,240.2,114.4,230.4,107.6
FALSE,651.8,737.4,743.8,367.4,743.2,355
FALSE,446.8,500.2,537.8,245,503.4,237
FALSE,10.8,12.2,9.4,5,9.6,4.2
FALSE,677.2,761,762.6,380,766.4,373.2
FALSE,449.2,504.6,521.8,253.6,510.4,251.4
FALSE,54.6,55.2,52.6,26.2,52.2,25.8
FALSE,390.2,441.8,445,217.2,438,218.2
FALSE,134.6,149.6,148.8,76.6,148.4,76.6
FALSE,516,574.8,589.6,288.4,584,289.8
FALSE,730,812.4,797.4,411,828.2,407
FALSE,112.8,126.8,121.2,62,125.8,62.2
FALSE,14.6,16.6,13.2,7,13.6,7.2
FALSE,469,529.2,537.6,266.6,539.6,266.8
FALSE,177.6,199.4,196.8,99.6,200.6,100.4
FALSE,224,246.4,248,123.4,249.2,122.8
FALSE,798,887.8,886.6,443.8,901.2,445.6
FALSE,122,138.6,132.4,67.8,136,68
FALSE,524.4,576.2,583.4,292.2,592.2,294.8
FALSE,133.4,149.6,159.8,74,149.2,74
FALSE,351.2,395.4,386,197.6,399.4,200.2
FALSE,471.2,531,520.2,266.4,539.6,266.4
FALSE,452.6,511.6,511.2,258.4,519,256.8
FALSE,96.2,107.6,103.4,54.2,107.4,52.6
FALSE,603.4,679.8,695.8,342,691.2,342.8
FALSE,240.2,265.6,279.8,133.4,267.4,132.2
FALSE,3.2,4.8,2,1,1.2,1.4
FALSE,678.2,755.6,741.8,379,764.4,379.8
FALSE,9,9.4,11.4,4,7.8,3.8
FALSE,29.4,32.8,31.2,14.2,29,14.4
FALSE,257.4,290.4,288.4,145,293.2,145
FALSE,41.6,46.2,44.8,23,43.6,22
FALSE,12.2,13.4,11.2,6.2,12.2,5.8
FALSE,399.6,450.2,439.4,224.2,455.8,225.4
FALSE,6,6.6,3.6,2,4,3
FALSE,253.8,285.6,279.2,143,288.4,142.6
FALSE,352.6,394.8,388.2,198.8,399.4,197.8
FALSE,651.6,737,726,367.6,750,371.2
FALSE,157.6,177.6,199.8,89,178.2,88.2
FALSE,53.6,59.8,55,28.4,57.4,28.6
FALSE,75.8,84.8,81.2,42.2,84.6,41.8
FALSE,385.8,437.2,426.6,218.6,443,218.8
FALSE,261.2,296.6,301.8,147.6,296.8,145.6
FALSE,197,209.8,205.4,104.4,210.8,104.6
FALSE,75,84.8,82.6,41,82.4,41.4
FALSE,238.2,267.6,261.2,134.6,271,134.8
FALSE,188.8,213.6,206.8,105.6,214,106
FALSE,7.2,7.6,4.6,2.6,5,2.8
FALSE,311.6,352,344.8,175.6,355.8,175.8
FALSE,521.8,586.6,573.4,293.2,593.6,295.2
FALSE,74.6,83,77.8,39.8,79.8,40
FALSE,351.6,397,392.4,195.6,401.2,199.4
FALSE,408,451.8,454.6,225.4,460.2,226.8
FALSE,783,884.4,875.8,446.8,902,443.6
FALSE,242.8,270.6,263.6,135.4,275.8,135.4
FALSE,496.8,555,596.4,276.6,561.4,277.8
FALSE,118,130.4,130.4,64.2,129,64.2
FALSE,96.6,109.2,109.2,53.6,106.8,53
FALSE,75.2,84.2,85,41,82,41
FALSE,52.4,58.4,54,28.6,56,28.2
FALSE,16.2,19,15.2,8.8,15.4,7.8
FALSE,228.8,258.8,253.2,129,260.4,127.8
FALSE,91.6,104.2,102.4,50.2,101.8,50.8
FALSE,5,6.6,3,2.4,3.2,1.6
FALSE,505,570.6,558,285.8,578,286
FALSE,345.8,388.6,379.8,194.8,394.2,196
FALSE,710.4,791.4,781.8,397.2,809.4,396.8
FALSE,16,18.4,16,8,15.2,8.8
FALSE,254.6,288.8,317.6,144,291.2,144
FALSE,338.4,379.2,370.4,191.4,385.8,190.2
FALSE,23.8,26.4,24.4,12,23.2,12.6
FALSE,349.8,393.6,384,197,398.8,195.8
FALSE,5.2,7.2,3,1.8,3.2,1.6
FALSE,61.2,69.6,65.2,33.4,67,33.6
FALSE,464,520,550,260.8,527.6,260.2
FALSE,717.6,811.8,808,408.2,827.2,407.6
FALSE,355.8,400.2,412.4,201.6,407,201
FALSE,12.6,15.2,12.2,6,11.6,6
FALSE,185.6,209.6,208.6,104.8,210.6,104.4
FALSE,537.4,590.8,581,298.2,602.6,296.2
FALSE,687,781.4,789,390,790.8,389.8
FALSE,110.2,109,111.6,54.8,110,53.8
FALSE,239,270,277,134.6,270.4,134.6
FALSE,738.4,834,830.2,418.4,850.6,420
FALSE,439.6,477,471.2,239,484.6,239.4
FALSE,395.2,449.2,441.8,225,453.2,223.4
FALSE,69.2,78.6,73.8,37.8,75.8,38
FALSE,102,114,114.2,58.4,112.4,55.4
FALSE,532.8,595.8,596.4,291,605.2,299
FALSE,388,439,449.4,214.2,445.8,219.8
FALSE,439,497.8,514,242.8,501.8,248.4
FALSE,171,194.6,189.2,93.8,193.4,95.8
FALSE,626.4,710.6,712.8,348,724.4,356.6
FALSE,591.4,669,740.8,325.8,680.4,333.8
FALSE,85.2,97.2,92.4,46.6,94.8,47
FALSE,394.2,443.8,442.8,216.2,449.6,222.4
FALSE,106.2,120.2,115.8,57.2,118.4,59.8
FALSE,12.2,13.8,10,5.4,10.8,5.6
FALSE,705.2,795.2,809.8,388,808.2,400.4
FALSE,687.2,770,774.2,376,786.4,387.2
FALSE,490.8,554.6,551.2,271,563.4,277.2
FALSE,507.8,567.4,572,278.4,574.4,284.2
FALSE,36.8,42,38,19.2,38.8,19.4
FALSE,470.6,532,530,260,539.6,266.2
FALSE,509.6,572.2,567,280.4,580.8,285.6
FALSE,416.4,465.8,487.2,227.6,471.2,230.2
FALSE,603.6,681.2,674.4,332.8,691,341.6
FALSE,620.2,701.6,697.6,343.4,710.4,350.6
FALSE,115,130,130.6,62,130.4,64
FALSE,558.6,623.2,620.4,305,631.8,312.8
FALSE,261.2,296,290.8,145.2,298,147.2
FALSE,667.4,750,746.4,369.6,760.2,375.6
FALSE,722.2,813.2,809.4,397.6,824.2,408.8
FALSE,166.6,186.8,183.4,90.6,186.8,92.4
FALSE,48,55.2,50.4,24.8,52.8,25.4
FALSE,59.4,65.8,62,30.6,62.8,31.8
FALSE,299,333.8,330.4,162.8,339.2,167
FALSE,586.6,661.2,676.4,326.8,671,330.2
FALSE,582.6,658,655.8,323,671.2,330.6
FALSE,401.2,452.6,447.8,221.4,459.2,226.6
FALSE,322.2,363.8,381.8,176.6,367.2,180
FALSE,554.4,626.8,628,306.2,637.2,314.6
FALSE,443.6,499.8,496.2,243.8,507.4,250.6
FALSE,446.2,502.2,516.8,245.2,508.8,251.2
FALSE,611.2,694.4,691,340,702.8,346.6
FALSE,41.8,47.6,49.4,21.6,45.2,22.2
FALSE,531.4,603.8,597.8,294,614.2,302.4
FALSE,529.8,599.2,598.2,294,611.4,300.8
FALSE,557.2,621.2,613.8,302.2,629.2,309.8
FALSE,379,426,420.6,207.4,430.6,212.4
FALSE,669.4,757.2,752.4,370.6,773.8,379.8
FALSE,332.6,376.6,392.4,182.8,381.6,188.4
FALSE,633.2,712.2,713,347.2,720.8,357
FALSE,321.4,356.8,352.8,173.6,362.6,178
FALSE,706.2,798.8,808.6,392.4,810,399.2
FALSE,637.8,721.2,721.2,351,729.8,362.2
FALSE,264.2,300.8,294.2,145.4,301.6,149.4
FALSE,680,768.2,774.4,377,784.6,386
FALSE,375.4,422.4,418.8,207.8,427.2,212.2
FALSE,379.2,429.2,425.2,208.4,434,214.6
FALSE,361,398.8,408.2,193.2,405,197.4
FALSE,781.6,876,879.4,428.2,887.2,438
FALSE,82.8,93.4,88.6,46.2,90.4,45.2
FALSE,96.4,106,123.6,50.8,104.6,51.8
FALSE,380,431.4,424.8,208.4,433.2,214
FALSE,704.8,791.4,842,385.6,802.4,396.4
FALSE,259.2,284.8,299,138.6,287,142.4
FALSE,247.4,277.8,287.8,136.2,280,138.4
FALSE,52,60,59,27.4,55.8,28.2
FALSE,190.8,205.6,206,99,205.8,102.2
FALSE,490.4,552.6,571.8,270.6,561.8,277.6
FALSE,619.4,702.2,707.2,342.2,713.4,351.8
FALSE,113,130.4,155.2,61,126.4,63
